"Titre de tracé : p41_p"
"#","Date Heure, GMT+01:00","Tension, V (LGR S/N: 20072572, SEN S/N: 20072572, LBL: Pression)","Temp., °C (LGR S/N: 20072572, SEN S/N: 20072572, LBL: Temperature)","Hôte connecté (LGR S/N: 20072572)","Arrêté (LGR S/N: 20072572)","Fin de fichier (LGR S/N: 20072572)"
429,05/22/17 23:00:00,1.35233,15.281,,,
430,05/22/17 23:15:00,1.34565,15.221,,,
431,05/22/17 23:30:00,1.33745,15.172,,,
432,05/22/17 23:45:00,1.33093,15.118,,,
433,05/23/17 00:00:00,1.32406,15.064,,,
434,05/23/17 00:15:00,1.31609,15.007,,,
435,05/23/17 00:30:00,1.30991,14.951,,,
436,05/23/17 00:45:00,1.30282,14.891,,,
437,05/23/17 01:00:00,1.29377,14.833,,,
438,05/23/17 01:15:00,1.28859,14.773,,,
439,05/23/17 01:30:00,1.28069,14.714,,,
440,05/23/17 01:45:00,1.27527,14.659,,,
441,05/23/17 02:00:00,1.26745,14.604,,,
442,05/23/17 02:15:00,1.26040,14.542,,,
443,05/23/17 02:30:00,1.25368,14.489,,,
444,05/23/17 02:45:00,1.24960,14.436,,,
445,05/23/17 03:00:00,1.24388,14.388,,,
446,05/23/17 03:15:00,1.23854,14.336,,,
447,05/23/17 03:30:00,1.23289,14.286,,,
448,05/23/17 03:45:00,1.22847,14.237,,,
449,05/23/17 04:00:00,1.22431,14.191,,,
450,05/23/17 04:15:00,1.21908,14.146,,,
451,05/23/17 04:30:00,1.21489,14.093,,,
452,05/23/17 04:45:00,1.20920,14.047,,,
453,05/23/17 05:00:00,1.20497,14.000,,,
454,05/23/17 05:15:00,1.19905,13.952,,,
455,05/23/17 05:30:00,1.19516,13.907,,,
456,05/23/17 05:45:00,1.19440,13.873,,,
457,05/23/17 06:00:00,1.19398,13.864,,,
458,05/23/17 06:15:00,1.19390,13.853,,,
459,05/23/17 06:30:00,1.19276,13.837,,,
460,05/23/17 06:45:00,1.19207,13.820,,,
461,05/23/17 07:00:00,1.19364,13.807,,,
462,05/23/17 07:15:00,1.19345,13.796,,,
463,05/23/17 07:30:00,1.19398,13.793,,,
