k,k2,l,l2,RMSE1,MAE1,PBias1,KGE1,RMSE2,MAE2,PBias2,KGE2,RMSE3,MAE3,PBias3,KGE3
1e-13,4.641588833612772e-15,2.6666666666666665,2.0,0.8208144529365639,0.6475159069446415,-0.059336198392180975,0.34959600069234853,0.49607068526859666,0.3915130898394189,-0.2661758555599556,0.22627823190169083,0.27868441269256283,0.21663353955695747,-0.013211066379365517,0.13717959406937952
1e-13,4.641588833612772e-15,2.6666666666666665,2.6666666666666665,0.8209691163193232,0.6476361134496034,-0.0597055741139326,0.3496620581170632,0.5035032557426579,0.3974734994924355,-0.2730859691178203,0.22967578689445045,0.3008936168636162,0.23389517916140573,-0.025040315413191398,0.148105421660797
1e-13,4.641588833612772e-15,2.6666666666666665,3.333333333333333,0.8211179823718703,0.6477524341264527,-0.05992472023751387,0.34972557904621215,0.5091680906223615,0.40198578863182605,-0.2771670241595661,0.23226360095245957,0.3151772113016847,0.24496351362521612,-0.0319786841048186,0.15513203501857187
1e-13,4.641588833612772e-15,2.6666666666666665,4.0,0.8212479538253609,0.64785410905267,-0.0600731315219551,0.3497810178355518,0.5135818379440464,0.40548721046208414,-0.2799213413617363,0.23427925621993806,0.3252334702313322,0.25273608149892113,-0.036640272603674875,0.16007897895993362
1e-13,4.641588833612772e-15,3.333333333333333,2.0,0.8230126818619846,0.6492807101067356,-0.059914184247764304,0.3505326187273229,0.5160739523534162,0.4073860991842924,-0.2727331497483189,0.2354085550205285,0.29004236556673274,0.22548710975572392,-0.017622385059004042,0.14277015160778306
1e-13,4.641588833612772e-15,3.333333333333333,2.6666666666666665,0.8232581940005792,0.6494726952255556,-0.06028097889519766,0.3506373668380698,0.524882621090186,0.41440590651983855,-0.27957555600977496,0.23943302022080626,0.31283960117489795,0.24317650370097155,-0.029364474646350135,0.15398517715791227
1e-13,4.641588833612772e-15,3.333333333333333,3.333333333333333,0.8234685089063254,0.6496374617337787,-0.060497704996636016,0.3507270560506066,0.5313966883377357,0.41958189343910995,-0.2836013401727388,0.24240763003828025,0.327377426163848,0.2544207816291972,-0.03623449574737432,0.16113677555531303
1e-13,4.641588833612772e-15,3.333333333333333,4.0,0.8236429458231593,0.6497741290993153,-0.06064404170442695,0.3508014297903682,0.5363825346606975,0.42352781042446747,-0.2863110540287077,0.24468380361717235,0.33754851213917064,0.26227001669028227,-0.040842113105195275,0.16614014102720331
1e-13,4.641588833612772e-15,4.0,2.0,0.8245697877479038,0.6505324134143364,-0.06029781988785245,0.35119603515225273,0.5302201445132791,0.4185948563390043,-0.27710541557086893,0.24186486156072717,0.29788632837451884,0.231579978757566,-0.020579760460281708,0.1466311983264844
1e-13,4.641588833612772e-15,4.0,2.6666666666666665,0.824881792639222,0.6507766244708024,-0.06066183851061695,0.35132909940286383,0.5399421346088252,0.42631204303576453,-0.28388774265547934,0.24630533148693512,0.3209952356478328,0.24949232681867295,-0.032250441377214514,0.1579995092316545
1e-13,4.641588833612772e-15,4.0,3.333333333333333,0.8251357878346199,0.6509757627499622,-0.06087624528928767,0.35143738875281016,0.5469977594654166,0.43190418775687023,-0.2878670049098319,0.24952653683179737,0.3356364189842879,0.2608099213594999,-0.039066338120732395,0.16520191197558354
1e-13,4.641588833612772e-15,4.0,4.0,0.8253411015053961,0.6511366935393816,-0.061020695011631765,0.3515249098754841,0.5523356181757574,0.4361265345540679,-0.290540262902806,0.2519629527243916,0.34582999471510717,0.26867701598152727,-0.043632100640940544,0.17021630776235386
1e-13,2.1544346900318866e-14,2.0,2.0,0.8180570585568558,0.6453289314191998,-0.061925772649734596,0.3484217899638622,0.4714660080834376,0.3723089631722291,-0.3032855223614798,0.21506745140682715,0.26870983629428297,0.20895899880110255,-0.057506031571369784,0.13223194437160513
